,선수명: ,등번호: ,생년월일: ,포지션: ,신장/체중: ,경력: ,입단 계약금: ,연봉: ,지명순위: ,입단년도: 
50001,강병철,80,1946년 08월 12일,(우투우타),176cm/80kg,동신초-대신중-부산상고-우석대,,,,
50002,이희수,81,1948년 01월 17일,(우투우타),170cm/68kg,성남고-농협,,,,
50003,이충순,,1900년 01월 01일,(),0cm/0kg,,,,,
50004,백기성,78,1949년 03월 27일,(우투우타),173cm/75kg,배문고,,,,
50007,문상준,107,2001년 03월 14일,내야수(우투우타),183cm/80kg,가동초-휘문중-휘문고,4000만원,2700만원,20 KT 2차 8라운드 72순위,
50008,여도건,108,2000년 03월 15일,투수(좌투좌타),182cm/95kg,대구호산초(달서구꾸러기리틀)-경상중-대구고,3000만원,2700만원,20 KT 2차 9라운드 82순위,
50009,최지효,109,2001년 08월 10일,내야수(우투우타),170cm/80kg,수원수일초(수원권선구리틀)-매향중-장안고,3000만원,2700만원,20 KT 2차 10라운드 92순위,20KT
50010,고영찬,110,1999년 08월 14일,투수(우투우타),183cm/78kg,상인천초-동인천중-인천고-강릉영동대,,2700만원,20 KT 육성선수,
50011,최태성,111,1997년 02월 12일,외야수(우투좌타),182cm/82kg,희망대초-모가중-야탑고-홍익대,,2700만원,20 KT 육성선수,
50012,이승주,112,1997년 11월 12일,외야수(우투우타),180cm/83kg,수유초-영남중-상우고-원광대,,2700만원,20 KT 육성선수,
50013,김경민,113,1997년 09월 26일,외야수(우투좌타),174cm/87kg,사당초-언북중-경기고-성균관대,,2700만원,20 KT 육성선수,
50014,윤종휘,114,1996년 10월 29일,내야수(우투우타),168cm/70kg,동막초-재능중-장안고-홍익대,,2700만원,20 KT 육성선수,
50015,박성현,115,1997년 01월 01일,내야수(우투우타),175cm/84kg,서일초-언북중-선린인터넷고-한양대,,2700만원,20 KT 육성선수,
50030,소형준,30,2001년 09월 16일,투수(우투우타),189cm/92kg,호암초(의정부리틀)-구리인창중-유신고,36000만원,2700만원,20 KT 1차,20KT
50036,이강준,36,2001년 12월 14일,투수(우투우타),184cm/80kg,서당초-설악중-설악고,9000만원,2700만원,20 KT 2차 3라운드 22순위,20KT
50040,데스파이네,40,1987년 04월 04일,투수(우투우타),182cm/92kg,미국 Hermanos Martinez Tamayo(고),300000달러,450000달러,20 KT 자유선발,20KT
50054,천성호,54,1997년 10월 30일,내야수(우투좌타),183cm/85kg,광주화정초-충장중-진흥고-단국대,10000만원,2700만원,20 KT 2차 2라운드 12순위,20KT
50066,강현우,66,2001년 04월 13일,포수(우투우타),180cm/90kg,원종초(부천시리틀)-부천중-유신고,15000만원,2700만원,20 KT 2차 1라운드 2순위,20KT
50092,윤준혁,102,2001년 07월 26일,내야수(우투우타),186cm/86kg,역촌초(은평구리틀)-충암중-충암고,8000만원,2700만원,20 KT 2차 4라운드 32순위,20KT
50093,김성균,103,2001년 07월 06일,내야수(좌투좌타),185cm/93kg,고명초-자양중-신일고,7000만원,2700만원,20 KT 2차 5라운드 42순위,
50094,서경찬,104,2001년 03월 08일,투수(우투우타),188cm/96kg,효제초-배재중-선린인터넷고,6000만원,2700만원,20 KT 2차 6라운드 52순위,
50096,한지용,106,2001년 07월 20일,포수(우투좌타),184cm/90kg,화곡초-영남중-신일고,5000만원,2700만원,20 KT 2차 7라운드 62순위,20KT
50098,이상원,,1980년 12월 01일,(),183cm/115kg,창영초-인천남중-양곡고-건국대,,,,20KT코치
50099,강권민,,1988년 02월 23일,(),174cm/72kg,양덕초-덕천중-낙동고-경성대,,,,20KT코치
50101,신익섭,86,1992년 10월 05일,(),167cm/68kg,부천중흥고-국민대,,,,20상무코치
50105,강민,105,2001년 04월 20일,투수(우투우타),188cm/88kg,수유초-홍은중-서울고,8000만원,2700만원,20 LG 2차 4라운드 33순위,
50106,유영찬,106,1997년 03월 07일,투수(우투우타),185cm/90kg,덕성초(안산리틀)-배명중-배명고-건국대,7000만원,2700만원,20 LG 2차 5라운드 43순위,
50107,하영진,107,2001년 02월 28일,투수(우투우타),182cm/80kg,안산상록초-원주중-원주고,6000만원,2700만원,20 LG 2차 6라운드 53순위,
50108,함창건,108,2001년 08월 18일,외야수(좌투좌타),176cm/83kg,백운초-충암중-충암고,5000만원,2700만원,20 LG 2차 7라운드 63순위,
50109,성재헌,109,1997년 12월 22일,투수(좌투좌타),175cm/82kg,도신초-성남중-성남고-연세대,4000만원,2700만원,20 LG 2차 8라운드 73순위,
50110,이정우,110,2001년 02월 28일,외야수(우투우타),182cm/84kg,부산수영초-경남중-경남고,3000만원,2700만원,20 LG 2차 9라운드 83순위,
50112,박찬호,112,2001년 01월 03일,투수(우투우타),190cm/82kg,온양온양초-온양중-영문고,3000만원,2700만원,20 LG 2차 10라운드 93순위,
50114,조용근,114,1996년 01월 01일,투수(우투우타),187cm/100kg,공주중동초-공주중-공주고-중앙대,,2700만원,20 LG 육성선수,
50115,김태우,115,1997년 10월 19일,내야수(우투우타),178cm/81kg,광주화정초-자양중-신일고-중앙대,,2700만원,20 LG 육성선수,
50116,김도환,116,1999년 09월 10일,외야수(좌투좌타),180cm/80kg,효제초-홍은중-선린인터넷고,,2700만원,20 LG 육성선수,
50126,이민호,26,2001년 08월 30일,투수(우투우타),189cm/93kg,서울학동초-대치중-휘문고,30000만원,2700만원,20 LG 1차,20LG
50150,손호영,50,1994년 08월 23일,내야수(우투우타),182cm/88kg,의왕부곡초-평촌중-충훈고,,2700만원,20 LG 2차 3라운드 23순위,20LG
50157,김윤식,57,2000년 04월 03일,투수(좌투좌타),181cm/83kg,광주서석초-무등중-진흥고,20000만원,2700만원,20 LG 2차 1라운드 3순위,20LG
50165,라모스,44,1994년 12월 28일,내야수(우투좌타),193cm/115kg,멕시코 Canyons(대),50000달러,300000달러,20 LG 자유선발,20LG
50167,이주형,67,2001년 04월 02일,내야수(우투좌타),183cm/80kg,송수초(해운대리틀)-센텀중-경남고,15000만원,2700만원,20 LG 2차 2라운드 13순위,20LG
50200,장원석,,1994년 08월 16일,(),174cm/75kg,중흥초-중흥중-중흥고-경희대,,,,20두산코치
50201,조광희,,1994년 01월 07일,(),178cm/71kg,신현초-신현중-신현고-용인대,,,,20두산코치
50202,안권수,23,1993년 04월 19일,외야수(우투좌타),175cm/80kg,일본 타카사초-일본 키시중-일본 와세다실업고-일본 와세다대,3000만원,2700만원,20 두산 2차 10라운드 99순위,20두산
50203,권휘,100,2000년 12월 07일,투수(우투우타),181cm/87kg,서울대림초-강남중-덕수고,,2700만원,20 두산 육성선수,
50204,박지훈,4,2000년 09월 07일,내야수(우투우타),183cm/80kg,김해삼성초-경남중-마산고,6000만원,2700만원,20 두산 2차 5라운드 49순위,20두산
50205,박웅,105,1997년 11월 12일,투수(우투우타),192cm/103kg,북정초-원동중-경남고-강릉영동대,,2700만원,20 두산 육성선수,
50206,최종인,106,2001년 05월 01일,투수(우투우타),185cm/84kg,해강초-센텀중-부산고,3000만원,2700만원,20 두산 2차 9라운드 89순위,
50207,지원근,107,1996년 03월 15일,포수(우투우타),175cm/80kg,수진초-대치중-경동고-제주국제대,,2700만원,20 두산 육성선수,
50208,오명진,3,2001년 09월 04일,내야수(우투좌타),179cm/79kg,대전신흥초-한밭중-세광고,,2700만원,20 두산 2차 6라운드 59순위,20두산
50209,구장익,109,1999년 08월 26일,내야수(우투우타),178cm/105kg,김해삼성초-내동중-마산고,,2700만원,20 두산 육성선수,
50211,제환유,111,2000년 09월 30일,투수(우투좌타),183cm/76kg,둔산초-공주중-공주고,10000만원,2700만원,20 두산 2차 2라운드 19순위,20두산
50214,김도경,114,1997년 07월 19일,외야수(우투우타),173cm/93kg,율하초-경상중-상원고-한양대,,2700만원,20 두산 육성선수,
50234,플렉센,34,1994년 07월 01일,투수(우투우타),191cm/113kg,,143000달러,600000달러,20 두산 자유선발,20두산
50244,장규빈,44,2001년 04월 21일,포수(우투우타),186cm/98kg,갈산초-서울신월중-경기고,14000만원,2700만원,20 두산 2차 1라운드 9순위,20두산
50262,이주엽,62,2001년 03월 26일,투수(우투우타),188cm/90kg,서울이수초-성남중-성남고,20000만원,2700만원,20 두산 1차,20두산
50293,양찬열,93,1997년 05월 25일,외야수(우투좌타),179cm/84kg,서울상수초-건대부중-장충고-단국대,4000만원,2700만원,20 두산 2차 8라운드 79순위,20두산
50294,김성민,94,2000년 08월 27일,투수(좌투좌타),182cm/95kg,학강초-광주동성중-진흥고,4000만원,2700만원,20 두산 2차 7라운드 69순위,
50296,조제영,96,2001년 02월 12일,투수(우투우타),182cm/89kg,양덕초-마산중-용마고,7000만원,2700만원,20 두산 2차 4라운드 39순위,20두산
50298,최세창,98,2001년 06월 01일,투수(우투우타),187cm/95kg,부산예원초-사직중-개성고,8000만원,2700만원,20 두산 2차 3라운드 29순위,20두산
50300,모터,00,1989년 09월 18일,내야수(우투우타),185cm/88kg,미국 Coastal Carolina(대),,200000달러,20 키움 자유선발,20키움
50304,김병휘,4,2001년 02월 16일,내야수(우투우타),177cm/79kg,효제초-홍은중-장충고,7000만원,2700만원,20 키움 2차 4라운드 37순위,20키움
50312,신준우,12,2001년 06월 21일,내야수(우투우타),176cm/83kg,대구수창초-경운중-대구고,9000만원,2700만원,20 키움 2차 2라운드 17순위,
50350,러셀,50,1994년 01월 23일,내야수(우투우타),183cm/88kg,미국 Pace(고),,539996달러,20 키움 자유선발,20키움
50354,이종민,54,2001년 06월 04일,투수(좌투좌타),185cm/100kg,성동초-덕수중-성남고,11000만원,2700만원,20 키움 2차 1라운드 7순위,20키움
50357,박주홍,57,2001년 04월 16일,외야수(좌투좌타),188cm/92kg,(하남시리틀)-건대부중-장충고,20000만원,2700만원,20 키움 1차,20키움
50360,김동혁,60,2001년 12월 27일,투수(우투우타),183cm/83kg,(강남구리틀)-영동중-덕수고,8000만원,2700만원,20 키움 2차 3라운드 27순위,20키움
50365,문찬종,65,1991년 03월 23일,내야수(우투양타),183cm/83kg,서울도림초(용산구리틀)-선린중-충암고,,2700만원,20 키움 2차 6라운드 57순위,10휴스턴
50372,김창현,72,1985년 07월 01일,(우투우타),178cm/72kg,가동초-건대부중-대전고-경희대,,,,20키움코치
50392,박동혁,92,2000년 03월 25일,외야수(우투우타),186cm/95kg,군산남초-언북중-화순고,3000만원,2700만원,20 키움 2차 9라운드 87순위,
50393,김동욱,93,1997년 05월 16일,투수(우투우타),178cm/89kg,(용산구리틀)-경원중-휘문고-홍익대,2000만원,2700만원,20 키움 2차 10라운드 97순위,
50394,정재원,94,2001년 06월 14일,외야수(우투우타),183cm/96kg,역북초-덕수중-서울고,4000만원,2700만원,20 키움 2차 7라운드 67순위,
50395,김동은,95,2000년 10월 16일,투수(우투우타),186cm/100kg,광주수창초-충장중-광주동성고,3000만원,2700만원,20 키움 2차 8라운드 77순위,
50397,박관진,97,1997년 03월 26일,투수(우투우타),186cm/90kg,소양초-춘천중-강릉고-인하대,6000만원,2700만원,20 키움 2차 5라운드 47순위,
50400,윤석훈,83,1986년 08월 31일,(우투우타),180cm/106kg,녹수초-현대중-현대고-대구한의대,,,,20삼성코치
50401,이상일,84,1984년 05월 05일,(우투우타),161cm/74kg,내당초-경상중-경북고-미네소타주립대,,,,20삼성코치
50402,전일우,95,1987년 03월 30일,(우투우타),170cm/69kg,대구대남초-대구학산중-대구고-영남대,,,,20삼성코치
50403,한흥일,86,1987년 04월 06일,(우투우타),173cm/70kg,미포초-일산중-방어진고-대구대,,,,20삼성코치
50404,뷰캐넌,4,1989년 05월 11일,투수(우투우타),190cm/90kg,미국 Georgia State(대),100000달러,600000달러,20 삼성 자유선발,20삼성
50405,황승현,80,1991년 11월 10일,(우투우타),178cm/78kg,남계초-현일중-현일고-대구한의대,,,,20삼성코치
50411,박주혁,101,2001년 05월 18일,투수(우투우타),182cm/82kg,남정초-덕수중-휘문고,6000만원,2700만원,20 삼성 2차 5라운드 45순위,
50412,조경원,119,2001년 03월 15일,투수(좌투좌타),183cm/92kg,태전초(광주시리틀)-모가중-비봉고,5000만원,2700만원,20 삼성 2차 6라운드 55순위,
50413,한연욱,112,2001년 02월 11일,투수(우투우타),188cm/84kg,대구수창초-대구중-대구고,3000만원,2700만원,20 삼성 2차 9라운드 85순위,
50414,정진수,107,1997년 09월 25일,포수(우투좌타),177cm/93kg,천안남산초-영동중-휘문고-연세대,5000만원,2700만원,20 삼성 2차 7라운드 65순위,
50415,김경민,105,1997년 08월 01일,내야수(우투우타),183cm/100kg,진북초-전라중-포철고-성균관대,3000만원,2700만원,20 삼성 2차 10라운드 95순위,
50416,신동수,110,2001년 06월 08일,내야수(우투우타),183cm/90kg,사파초-부산중-개성고,4000만원,2700만원,20 삼성 2차 8라운드 75순위,
50430,홍원표,30,2001년 03월 27일,투수(우투우타),183cm/86kg,신도초-부천중-부천고,8000만원,2700만원,20 삼성 2차 3라운드 25순위,20삼성
50441,황동재,41,2001년 11월 03일,투수(우투우타),191cm/97kg,율하초-경운중-경북고,23000만원,2700만원,20 삼성 1차,20삼성
50449,허윤동,49,2001년 06월 19일,투수(좌투좌타),181cm/90kg,(덕양구리틀)-금릉중-유신고,15000만원,2700만원,20 삼성 2차 1라운드 5순위,20삼성
50458,김지찬,58,2001년 03월 08일,내야수(우투좌타),163cm/64kg,백사초(이천시리틀)-모가중-라온고,11000만원,2700만원,20 삼성 2차 2라운드 15순위,20삼성
50464,이승민,64,2000년 08월 26일,투수(좌투좌타),174cm/79kg,본리초-경상중-대구고,7000만원,2700만원,20 삼성 2차 4라운드 35순위,20삼성
50468,살라디노,68,1989년 07월 20일,내야수(우투우타),183cm/90kg,미국 Oral Roberts(대),100000달러,700000달러,20 삼성 자유선발,20삼성
50500,황성빈,,1997년 12월 19일,외야수(우투좌타),175cm/73kg,관산초-안산중앙중-소래고-경남대,7000만원,2700만원,20 롯데 2차 5라운드 44순위,
50506,마차도,6,1992년 02월 22일,내야수(우투우타),185cm/91kg,베네수엘라 Miguel De Cervantes(고),200000달러,300000달러,20 롯데 자유선발,20롯데
