,선수명: ,등번호: ,생년월일: ,포지션: ,신장/체중: ,경력: ,입단 계약금: ,연봉: ,지명순위: ,입단년도: 
50507,엄태호,43,2001년 01월 03일,외야수(우투좌타),186cm/84kg,도신초-영남중-장충고,6000만원,2700만원,20 롯데 2차 6라운드 54순위,
50508,이찬우,08,1997년 11월 19일,포수(우투우타),182cm/87kg,가야초(동래구리틀)-대천중-부산공고-단국대,,2700만원,20 롯데 육성선수,
50517,김건우,59,2001년 04월 25일,외야수(우투좌타),176cm/73kg,광주서림초-광주동성중-제물포고,5000만원,2700만원,20 롯데 2차 7라운드 64순위,
50524,샘슨,24,1991년 10월 07일,투수(우투우타),189cm/95kg,미국 Skyline(고)-미국 Bellevue(대),339700달러,500000달러,20 롯데 자유선발,20롯데
50550,김대환,,1974년 06월 07일,(),173cm/72kg,서울양화초-영도중-대일고-한양대-차의과학대학원,,,,20롯데코치
50551,김태현,,1987년 03월 11일,(),180cm/95kg,송현초-대구대서중-대곡고-경운대,,,,20롯데코치
50552,손재원,,1981년 11월 11일,(),185cm/98kg,수원남창초-수원북중-분당중앙고-일본 Tokyo Sports & Resort(대),,,,20롯데코치
50556,최준용,56,2001년 10월 10일,투수(우투우타),185cm/85kg,부산수영초-대천중-경남고,25000만원,2700만원,20 롯데 1차,20롯데
50558,스트레일리,58,1988년 12월 11일,투수(우투우타),189cm/100kg,미국 Turston(고)-미국 Marshall(대),300000달러,500000달러,20 롯데 자유선발,20롯데
50563,박재민,63,2001년 08월 27일,투수(좌투좌타),186cm/88kg,군산중앙초-청원중-전주고,11000만원,2700만원,20 롯데 2차 2라운드 14순위,20롯데
50573,김민기,73,1996년 02월 14일,투수(우투우타),177cm/83kg,부산금강초-대동중-경남고-중앙대,,2700만원,20 롯데 육성선수,
50574,설재민,74,1997년 05월 01일,투수(우투우타),174cm/80kg,성동초-배명중-배명고-홍익대,,2700만원,20 롯데 육성선수,
50576,한지운,76,2001년 03월 30일,포수(우투우타),186cm/92kg,광주대성초-충장중-광주제일고,4000만원,2700만원,20 롯데 2차 8라운드 74순위,
50584,정도웅,84,2001년 04월 03일,내야수(우투우타),176cm/85kg,광주화정초-무등중-광주제일고,7000만원,2700만원,20 롯데 2차 4라운드 34순위,20롯데
50585,콩거,85,1988년 01월 29일,(우투양타),188cm/102kg,미국 Huntington Beach(고),,,,20롯데코치
50587,윤윤덕,87,1990년 02월 20일,(),178cm/78kg,덕성초-주성중-청석고-서울시립대,,,,20롯데코치
50589,롱,89,1973년 02월 03일,(우투우타),188cm/97kg,미국 J.Frank Dobie(고),,,,20롯데코치
50590,신학진,90,2000년 12월 12일,투수(우투우타),185cm/78kg,중대초-성남중-강릉고,3000만원,2700만원,20 롯데 2차 10라운드 94순위,
50592,박명현,92,2001년 06월 16일,투수(우투우타),185cm/80kg,부천북초-대원중-야탑고,9000만원,2700만원,20 롯데 2차 3라운드 24순위,20롯데
50593,백어진,93,1990년 11월 26일,(우투우타),181cm/83kg,광주수창초-진흥중-진흥고,,,,20롯데코치
50594,김현종,94,2000년 05월 22일,투수(좌투좌타),183cm/80kg,고원초(금천구리틀)-영남중-광명공고,3000만원,2700만원,20 롯데 2차 9라운드 84순위,
50595,헤르젠버그,95,1990년 04월 23일,(좌투좌타),180cm/113kg,미국 White Plains(고)-미국 Georgetown(대),,,,20롯데코치
50596,홍민기,96,2001년 07월 20일,투수(좌투좌타),185cm/85kg,법동초-한밭중-대전고,16000만원,2700만원,20 롯데 2차 1라운드 4순위,20롯데
50597,차혜성,97,1997년 02월 17일,외야수(좌투좌타),175cm/75kg,순천북초-순천이수중-효천고-동의대,,2700만원,20 롯데 육성선수,
50600,홍종표,0,2000년 05월 02일,내야수(우투좌타),178cm/72kg,동막초-영남중-강릉고,11000만원,2700만원,20 KIA 2차 2라운드 16순위,20KIA
50604,유지성,4,2000년 11월 15일,투수(좌투좌타),189cm/94kg,수유초-자양중-북일고,7000만원,2700만원,20 KIA 2차 4라운드 36순위,20KIA
50608,이인한,08,1998년 12월 24일,외야수(우투우타),183cm/100kg,광주대성초-심석중-강릉고-강릉영동대,3000만원,2700만원,20 KIA 2차 9라운드 86순위,
50609,윌리엄스,9,1965년 11월 28일,(우투우타),188cm/92kg,미국 Carson City(고)-미국 Nevada(대),,,,20KIA감독
50613,김양수,013,2001년 01월 23일,투수(우투우타),184cm/80kg,천안남산초-천안북중-북일고,6000만원,2700만원,20 KIA 2차 5라운드 46순위,
50614,김연준,014,1996년 12월 20일,외야수(우투좌타),0cm/0kg,경기고-중앙대,,2700만원,20 KIA 육성선수,
50622,오규석,022,2001년 12월 04일,투수(우투우타),187cm/97kg,희망대초-휘문중-휘문고,8000만원,2700만원,20 KIA 2차 3라운드 26순위,
50632,백현종,032,1999년 06월 10일,포수(우투우타),184cm/94kg,활천초-대신중-경주고-동강대,4000만원,2700만원,20 KIA 2차 7라운드 66순위,
50636,브룩스,36,1990년 04월 27일,투수(우투우타),193cm/104kg,미국 Cajon(고)-미국 California State(대),200000달러,479000달러,20 KIA 자유선발,20KIA
50637,강민수,037,2001년 02월 14일,투수(우투우타),176cm/80kg,길동초-건대부중-장충고,4000만원,2700만원,20 KIA 2차 8라운드 76순위,
50640,가뇽,40,1990년 06월 26일,투수(우투우타),193cm/97kg,미국 Liberty(고)-미국 California State(대),200000달러,650000달러,20 KIA 자유선발,20KIA
50641,장재혁,040,2001년 08월 02일,투수(우투우타),180cm/86kg,부산금강초-대신중-경남고,5000만원,2700만원,20 KIA 2차 6라운드 56순위,
50650,최용준,050,2001년 12월 19일,투수(우투우타),193cm/97kg,양산신양초-경남중-부산공고,3000만원,2700만원,20 KIA 2차 10라운드 96순위,
50657,박민,57,2001년 06월 05일,내야수(우투우타),184cm/84kg,갈산초-성남중-야탑고,15000만원,2700만원,20 KIA 2차 1라운드 6순위,20KIA
50662,정해영,62,2001년 08월 23일,투수(우투우타),189cm/98kg,광주대성초-광주동성중-광주제일고,20000만원,2700만원,20 KIA 1차,20KIA
50677,위더마이어,77,1955년 01월 17일,(우투우타),175cm/85kg,미국 Upper Arlington(고)-미국 Union(대)-미국 Ohio State(대학원),,,,20KIA코치
50695,유재민,95,1988년 03월 20일,(우언우타),170cm/78kg,신촌초-대동중-대동고-한체대,,,,20KIA코치
50697,윤인득,97,1987년 12월 08일,(우투우타),178cm/78kg,옥포초-옥포중-거제중앙고-한체대,,,,20KIA코치
50701,김소중,,1987년 06월 27일,(),184cm/80kg,광양제철남초-광양제철중-광양제철고-상명대,,,,20한화코치
50702,김연규,,1989년 01월 20일,(),179cm/80kg,중원초-금광중-성남서고-세명대,,,,20한화코치
50703,서진영,,1990년 02월 03일,(),180cm/75kg,숭신초-삼선중-홍대부고-연세대,,,,20한화코치
50704,임종찬,96,2001년 09월 28일,외야수(우투좌타),184cm/85kg,청주우암초-청주중-북일고,9000만원,2700만원,20 한화 2차 3라운드 28순위,20한화
50705,강재민,62,1997년 04월 03일,투수(우투우타),180cm/86kg,양덕초-마산중-용마고-단국대,8000만원,2700만원,20 한화 2차 4라운드 38순위,20한화
50706,장웅정,106,1997년 04월 11일,투수(우투우타),181cm/76kg,수원신곡초-수원북중-유신고-동국대,7000만원,2700만원,20 한화 2차 5라운드 48순위,
50707,최인호,34,2000년 01월 30일,외야수(우투좌타),178cm/82kg,송정동초-광주동성중-포철고,6000만원,2700만원,20 한화 2차 6라운드 58순위,20한화
50708,최이경,108,1996년 03월 12일,투수(좌투좌타),175cm/91kg,역북초-수원북중-유신고-동국대,5000만원,2700만원,20 한화 2차 7라운드 68순위,
50709,박정현,56,2001년 07월 27일,내야수(우투우타),183cm/85kg,부천북초-부천중-유신고,4000만원,2700만원,20 한화 2차 8라운드 78순위,20한화
50710,김범준,110,2000년 09월 30일,투수(우투우타),175cm/83kg,서울도곡초-선진중-충암고,3000만원,2700만원,20 한화 2차 9라운드 88순위,
50711,김승일,111,2001년 07월 07일,투수(우언우타),183cm/85kg,부산해강초(해운대리틀)-센텀중-경남고,3000만원,2700만원,20 한화 2차 10라운드 98순위,
50712,김현제,112,1997년 01월 19일,투수(우투우타),185cm/94kg,남도초-경상중-대구고-영남대,,2700만원,20 한화 육성선수,
50713,박재경,113,1997년 04월 09일,내야수(우투우타),170cm/75kg,온양온천초-온양중-청주고-영남대,,2700만원,20 한화 육성선수,
50714,김광명,114,1997년 03월 27일,외야수(우투좌타),176cm/80kg,청주경산초-세광중-세광고-동아대,,2700만원,20 한화 육성선수,
50720,남지민,20,2001년 02월 12일,투수(우투우타),181cm/95kg,양정초-개성중-부산정보고,16000만원,2700만원,20 한화 2차 1라운드 8순위,20한화
50726,한승주,26,2001년 03월 17일,투수(우투우타),184cm/82kg,부산수영초-대천중-부산고,11000만원,2700만원,20 한화 2차 2라운드 18순위,20한화
50730,반즈,30,1986년 05월 15일,외야수(우투우타),188cm/95kg,미국 Katella(고)-미국 Cypress(대),50000달러,50000달러,20 한화 자유선발,20한화
50758,신지후,58,2001년 06월 12일,투수(우투우타),198cm/105kg,대전유천초-충남중-북일고,22000만원,2700만원,20 한화 1차,20한화
50801,김주윤,,1982년 05월 20일,(우투우타),171cm/70kg,양재초-영동중-양재고-경남대,,,,20SK코치
50811,길지석,93,2001년 11월 02일,투수(우투우타),190cm/110kg,(인천남구리틀)-매송중-야탑고,4000만원,2700만원,20 SK 2차 7라운드 70순위,
50812,박시후,64,2001년 05월 10일,투수(좌투좌타),182cm/88kg,상인천초-상인천중-인천고,2000만원,2700만원,20 SK 2차 10라운드 100순위,
50813,양선률,94,1997년 04월 15일,투수(우투우타),186cm/87kg,학강초-화순중-화순고-동아대,,2700만원,20 SK 육성선수,20SK
50814,이재성,95,2001년 03월 15일,투수(좌투좌타),185cm/80kg,(화성시리틀)-서울청담중-라온고,6000만원,2700만원,20 SK 2차 5라운드 50순위,
50815,킹엄,15,1991년 11월 08일,투수(우투우타),196cm/106kg,미국 Sierra Vista(고),200000달러,500000달러,20 SK 자유선발,20SK
50816,김태우,08,1995년 02월 20일,포수(우투우타),175cm/89kg,서현초-배명중-경기고-동국대,,2700만원,20 SK 육성선수,
50817,김교람,98,2000년 03월 29일,내야수(우투우타),185cm/86kg,고봉초(인천서구리틀)-고양신일중-제물포고,3000만원,2700만원,20 SK 2차 8라운드 80순위,
50818,석호준,97,1997년 07월 23일,내야수(우투우타),181cm/96kg,효제초-충암중-충암고-동국대,,2700만원,20 SK 육성선수,
50819,이거연,67,1997년 06월 15일,내야수(우투우타),186cm/92kg,(용산구리틀)-언북중-휘문고-홍익대,3000만원,2700만원,20 SK 2차 9라운드 90순위,20SK
50820,전의산,96,2000년 11월 25일,내야수(우투좌타),188cm/98kg,부산수영초-개성중-경남고,13000만원,2700만원,20 SK 2차 1라운드 10순위,
50835,핀토,35,1994년 01월 20일,투수(우투우타),183cm/88kg,베네수엘라 Liceo Alfredo Pietri(고),100000달러,450000달러,20 SK 자유선발,20SK
50840,현원회,40,2001년 07월 08일,포수(우투우타),180cm/95kg,가동초-경상중-대구고,7000만원,2700만원,20 SK 2차 4라운드 40순위,20SK
50848,김성민,48,2001년 04월 30일,내야수(우투우타),184cm/88kg,서울학동초-자양중-경기고,10000만원,2700만원,20 SK 2차 2라운드 20순위,20SK
50854,최지훈,54,1997년 07월 23일,외야수(우투좌타),178cm/82kg,광주수창초-무등중-광주제일고-동국대,8000만원,2700만원,20 SK 2차 3라운드 30순위,20SK
50859,오원석,59,2001년 04월 23일,투수(좌투좌타),182cm/80kg,수진초-매송중-야탑고,20000만원,2700만원,20 SK 1차,20SK
50868,류효승,68,1996년 07월 16일,외야수(우투우타),190cm/100kg,칠성초-경상중-대구상원고-성균관대,5000만원,2700만원,20 SK 2차 6라운드 60순위,20SK
50900,임형원,00,2001년 09월 15일,투수(우투우타),183cm/73kg,시흥계수초(소사리틀)-동산중-인천고,8000만원,2700만원,20 NC 2차 4라운드 31순위,20NC
50901,안인산,0,2001년 02월 27일,투수(우투우타),181cm/95kg,군포오금초(안양시리틀)-평촌중-야탑고,10000만원,2700만원,20 NC 2차 3라운드 21순위,20NC
50902,김한별,102,2001년 01월 18일,투수(우투우타),177cm/85kg,효제초-선린중-배재고,5000만원,2700만원,20 NC 2차 7라운드 61순위,
50903,한재환,103,2001년 10월 19일,내야수(우투우타),177cm/89kg,(기장리틀)-대신중-개성고,4000만원,2700만원,20 NC 2차 8라운드 71순위,
50904,이종준,104,2001년 03월 09일,투수(우투우타),191cm/93kg,군산중앙초-군산남중-군산상고,3000만원,2700만원,20 NC 2차 9라운드 81순위,
50905,강태경,100,2001년 07월 26일,투수(우투좌타),188cm/95kg,양덕초-잠실중-배명고,7000만원,2700만원,20 NC 2차 5라운드 41순위,
50906,박영빈,106,1997년 07월 16일,외야수(우투좌타),182cm/77kg,호원초(의정부리틀)-청량중-충암고-경희대,,2700만원,20 NC 육성선수,
50911,한건희,101,2000년 09월 04일,투수(우투우타),188cm/105kg,대전유천초-한밭중-대전고,6000만원,2700만원,20 NC 2차 6라운드 51순위,
50912,라이트,12,1990년 01월 03일,투수(우투우타),198cm/97kg,미국 East Carolina(대),200000달러,800000달러,20 NC 자유선발,20NC
50923,알테어,23,1991년 01월 14일,외야수(우투우타),196cm/97kg,미국 Agua Fria(고),200000달러,800000달러,20 NC 자유선발,20NC
50955,노상혁,105,1997년 09월 21일,투수(우투우타),190cm/94kg,사파초-창원신월중-용마고-동의대,3000만원,2700만원,20 NC 2차 10라운드 91순위,
50990,노학준,90,1999년 05월 04일,외야수(좌투좌타),182cm/85kg,부산대연초-마산중-물금고,,2700만원,20 NC 육성선수,
50992,김태경,92,2001년 04월 07일,투수(우투우타),188cm/95kg,김해삼성초-내동중-용마고,15000만원,2700만원,20 NC 1차,20NC
50995,정구범,95,2000년 06월 16일,투수(좌투좌타),183cm/71kg,경동초(성동구리틀)-건대부중-덕수고,25000만원,2700만원,20 NC 2차 1라운드 1순위,20NC
50996,박시원,96,2001년 05월 30일,외야수(우투좌타),185cm/85kg,광주서림초-광주동성중-광주제일고,12000만원,2700만원,20 NC 2차 2라운드 11순위,20NC
